Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Short_Description,Long_Description,Keyfacts,Medicine
Hypoglycemia,lie down on side,check in pulse,drink sugary drinks,consult doctor, Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.,"Hypoglycemia is a condition characterized by abnormally low levels of glucose (sugar) in the blood, typically defined as a blood sugar level below 70 mg/dL (3.9 mmol/L). It can occur in individuals with diabetes who take insulin or other medications that increase insulin production, but it can also affect people without diabetes due to various factors such as prolonged fasting, excessive alcohol consumption, certain medical conditions, or hormonal deficiencies. Symptoms of hypoglycemia can range from mild to severe and may include shakiness, sweating, confusion, irritability, rapid heartbeat, dizziness, and in extreme cases, loss of consciousness or seizures. Immediate treatment usually involves consuming fast-acting carbohydrates, such as glucose tablets, fruit juice, or sugary snacks, to quickly raise blood sugar levels. Prevention strategies may include regular meals and snacks, monitoring blood sugar levels, and adjusting medications as needed. Recognizing the signs of hypoglycemia and knowing how to respond is crucial for managing the condition and preventing potential complications.","Hypoglycaemia is when you have too little glucose (sugar) in your blood. People with diabetes can be at risk of becoming hypoglycaemia (hypo). Symptoms of a hypo include trembling, feeling lightheaded, sweating or irritability. If a person with diabetes is having a hypo, they need to quickly have some glucose. If hypoglycaemia gets worse, you can become unconscious.","baqsimi, dasiglucagon (Zegalogue), and glucagon injection (Gvoke)"
Acne,bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents.","Acne is a common skin condition that occurs when hair follicles become clogged with oil, dead skin cells, and bacteria, leading to the formation of pimples, blackheads, whiteheads, and cysts. It primarily affects the face, back, and shoulders, where sebaceous glands are most concentrated. Acne is most prevalent during adolescence due to hormonal changes that increase oil production, but it can persist into adulthood for many individuals. Factors contributing to acne include hormonal fluctuations, genetics, diet, stress, and the use of certain cosmetics or medications. Symptoms can range from mild to severe and may cause physical discomfort as well as emotional distress due to its impact on appearance. Diagnosis is usually based on a physical examination of the skin, and treatment options vary depending on the severity of the condition. They may include over-the-counter topical treatments, prescription medications, hormonal therapies, and in some cases, procedures like chemical peels or laser therapy. Effective management is essential to reduce breakouts, minimize scarring, and improve overall skin health.","Acne is a common skin condition that causes spots or pimples on your face, neck, back or chest. Acne most commonly affects people between 16 and 18 years of age. There are different types of acne — it can be mild, moderate or severe. Untreated acne can leave you with skin scars — it is important to get treatment. If your acne is severe, your doctor may refer you to a dermatologist (skin specialist), who may prescribe medicines. Acne is a common skin condition that causes spots or pimples on your face, neck, back or chest. Acne most commonly affects people between 16 and 18 years of age. There are different types of acne — it can be mild, moderate or severe. Untreated acne can leave you with skin scars — it is important to get treatment. If your acne is severe, your doctor may refer you to a dermatologist (skin specialist), who may prescribe medicines.","tetracycline (minocycline, doxycycline) and macrolide (erythromycin, azithromycin)"
Impetigo,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts.","Impetigo is a highly contagious bacterial skin infection that primarily affects children but can occur in individuals of any age. It is caused by bacteria, most commonly Staphylococcus aureus or Streptococcus pyogenes, which enter the skin through cuts, insect bites, or other breaks in the skin barrier. The infection typically presents as red sores or blisters that can quickly rupture, ooze fluid, and form a honey-colored crust. Impetigo often appears around the nose and mouth but can spread to other areas of the body through scratching or contact with contaminated objects. Symptoms may include itching and discomfort in the affected areas. Diagnosis is usually based on the appearance of the skin lesions, and treatment often involves topical antibiotics for mild cases or oral antibiotics for more extensive infections. Good hygiene practices, such as handwashing and keeping lesions clean, are essential in preventing the spread of impetigo. Although the condition is usually not serious and can be effectively treated, prompt attention is necessary to avoid complications and limit transmission to others.","Impetigo is a very common skin infection that causes skin sores and blisters. Impetigo is caused by staphylococcus or streptococcus bacteria. Impetigo usually affects young children, as the infection can easily spread in places such as schools and childcare centres — this is why it is sometimes called ‘school sores’. Your doctor can diagnose impetigo by looking at your sores and may also take a swab to test for bacteria. Impetigo is usually treated with antibiotics in the form of a cream, ointment, tablets or syrup, depending on the severity of the condition .",antibiotic creams
Peptic ulcer diseae,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.","Peptic ulcer disease (PUD) refers to the formation of open sores or ulcers in the lining of the stomach, small intestine, or esophagus. These ulcers develop when the protective mucous layer is compromised, allowing stomach acid to damage the underlying tissue. The most common causes of peptic ulcers are infection with Helicobacter pylori (H. pylori) bacteria and the prolonged use of nonsteroidal anti-inflammatory drugs (NSAIDs), such as ibuprofen and aspirin. Symptoms of peptic ulcer disease can include burning stomach pain, bloating, indigestion, nausea, and in severe cases, vomiting blood or passing dark, tarry stools. Diagnosis typically involves a combination of medical history, physical examination, and tests such as endoscopy or breath tests to detect H. pylori. Treatment usually focuses on reducing stomach acid and eradicating H. pylori infection, often through a combination of antibiotics and acid-reducing medications. Lifestyle modifications, including dietary changes and stress management, are also important in managing the condition. While peptic ulcers can be effectively treated, if left untreated, they can lead to serious complications such as bleeding, perforation, and gastric obstruction.","A duodenal ulcer is a sore in the lining of part of your small intestine. You may experience stomach pain, bloating or feeling sick with a duodenal ulcer. Eating food might help, but some foods can make it worse. A duodenal ulcer can be caused by helicobacter pylori bacteria or certain medicines that harm the protective lining of your small intestine. A duodenal ulcer is a sore in the lining of part of your small intestine. You may experience stomach pain, bloating or feeling sick with a duodenal ulcer. Eating food might help, but some foods can make it worse. A duodenal ulcer can be caused by helicobacter pylori bacteria or certain medicines that harm the protective lining of your small intestine.","omeprazole (Prilosec), lansoprazole (Prevacid), rabeprazole (Aciphex), esomeprazole (Nexium) and pantoprazole (Protonix)"
Common Cold,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.","The common cold is a viral infection of the upper respiratory tract, primarily caused by rhinoviruses, although other viruses such as coronaviruses and adenoviruses can also be responsible. Symptoms typically include a runny or stuffy nose, sore throat, cough, sneezing, mild headache, and fatigue, often accompanied by a low-grade fever. Colds are highly contagious and can spread through respiratory droplets when an infected person coughs or sneezes, as well as by touching contaminated surfaces and then touching the face. While the common cold generally resolves on its own within a week to ten days, it can lead to more serious complications in individuals with weakened immune systems or pre-existing respiratory conditions. There is no specific cure for the common cold; treatment focuses on alleviating symptoms, which may include rest, hydration, over-the-counter medications, and home remedies. Preventative measures, such as frequent handwashing, avoiding close contact with sick individuals, and maintaining good hygiene, can help reduce the risk of contracting or spreading the virus.","A cold is a viral infection that usually affects your nose and throat. Common symptoms include sore throat, sneezing and a blocked or runny nose. Symptoms usually get better on their own within 7 to 10 days. There are self-care treatments and medicines that can help you feel better when you have a cold. Key facts A cold is a viral infection that usually affects your nose and throat. Common symptoms include sore throat, sneezing and a blocked or runny nose. Symptoms usually get better on their own within 7 to 10 days. There are self-care treatments and medicines that can help you feel better when you have a cold.","�paracetamol,�ibuprofen, decongestant, vapour rubs"
Chicken pox,use neem in bathing ,consume neem leaves,take vaccine,avoid public places,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.","Chickenpox is a highly contagious viral infection caused by the varicella-zoster virus, characterized by an itchy rash, red spots, and fluid-filled blisters that eventually crust over. It primarily affects children but can occur in individuals of any age, particularly those who have not been vaccinated or previously infected. The disease spreads through direct contact with the rash or via respiratory droplets from coughing or sneezing by an infected person. Symptoms typically appear 10 to 21 days after exposure and may include fever, fatigue, loss of appetite, and headache, followed by the development of the characteristic rash. While chickenpox is usually mild in children, it can lead to complications such as bacterial skin infections, pneumonia, and, in rare cases, encephalitis, especially in adults and those with weakened immune systems. Diagnosis is generally based on the appearance of the rash and accompanying symptoms, with treatment focusing on symptom relief through antihistamines and fever reducers. Vaccination is the most effective means of prevention, significantly reducing the risk of infection and its complications, and the virus can reactivate later in life, causing shingles.","Chickenpox is a very contagious infection caused by the varicella zoster virus. The most common symptom of chickenpox is an itchy red rash with fluid-filled blisters. Most cases of chickenpox are mild and get better on their own. Serious complications of chickenpox include infected blisters, pneumonia and meningitis. Vaccination is the best way to protect yourself against chickenpox. Key facts Chickenpox is a very contagious infection caused by the varicella zoster virus. The most common symptom of chickenpox is an itchy red rash with fluid-filled blisters. Most cases of chickenpox are mild and get better on their own. Serious complications of chickenpox include infected blisters, pneumonia and meningitis. Vaccination is the best way to protect yourself against chickenpox.","acyclovir (Zovirax, Sitavig), antihistamine (Chlorphenamine)"
Cervical spondylosis,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor,"Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs).","Cervical spondylosis is a degenerative condition affecting the cervical spine, or neck, characterized by the wear and tear of the intervertebral discs and the cervical vertebrae. It is often associated with aging, as the spinal discs lose hydration and elasticity over time, leading to the formation of bone spurs and the potential narrowing of the spinal canal. Symptoms can vary widely and may include neck pain, stiffness, headaches, and in some cases, radiating pain, numbness, or weakness in the arms or hands if nerve roots are compressed. Risk factors for cervical spondylosis include age, genetics, previous neck injuries, and occupations that involve repetitive neck motions or prolonged periods of neck strain. Diagnosis typically involves a physical examination, medical history, and imaging studies such as X-rays or MRIs to assess structural changes in the cervical spine. Treatment options range from conservative approaches like physical therapy, pain management with medications, and lifestyle modifications to more invasive procedures in severe cases, such as corticosteroid injections or surgery. While cervical spondylosis is a common condition, effective management can significantly improve quality of life and reduce discomfort.","Upper back pain is pain or discomfort that involves the bones, joints, muscles, nerves or any other body tissue in or around your thoracic spine. Your thoracic spine is the area between your neck (cervical spine) and lower back (lumbar spine). Most upper back pain has no specific cause — usually, upper back pain isn’t caused by a serious medical problem. Back pain often goes away on its own, and there are many things you can do (such as exercise, stress and weight management) to help manage your pain until it resolves. Your doctor may recommend or prescribe medicines for a short time to help you return to regular daily activities.","Ibuprofen (Advil, Motrin IB), naproxen sodium (Aleve) and acetaminophen (Tylenol)"
Hyperthyroidism,eat healthy,massage,use lemon balm,take radioactive iodine treatment,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat.","Hyperthyroidism is a condition characterized by the overproduction of thyroid hormones by the thyroid gland, leading to an accelerated metabolism and a range of symptoms. It can result from various causes, including Graves' disease (an autoimmune disorder), toxic nodular goiter, or thyroiditis. Common symptoms of hyperthyroidism include increased heart rate, weight loss despite an increased appetite, anxiety, irritability, tremors, heat intolerance, excessive sweating, and changes in menstrual patterns. In some cases, individuals may also experience goiter, which is an enlargement of the thyroid gland. Diagnosis is typically made through blood tests that measure levels of thyroid hormones (T3 and T4) and thyroid-stimulating hormone (TSH). Treatment options vary depending on the cause and severity of the condition and may include antithyroid medications, radioactive iodine therapy, or in some cases, surgery to remove part or all of the thyroid gland. Effective management of hyperthyroidism is essential to prevent complications such as heart problems, osteoporosis, and thyroid storm, a rare but life-threatening condition. Regular monitoring and follow-up care are crucial for individuals with hyperthyroidism to ensure optimal thyroid function and overall health.","The thyroid is a gland in the neck, near the base of the throat, that helps control some of your body�s metabolic processes. Hyperthyroidism (sometimes called thyrotoxicosis or overactive thyroid) is when your thyroid gland is overactive. The most common symptoms of hyperthyroidism are feeling anxious or nervous, being unable to tolerate heat, having heart palpitations, feeling tired and losing weight. To diagnose hyperthyroidism, your doctor will examine you and send you for a blood test to measure the levels of your thyroid hormones. Hyperthyroidism can be treated with medications, radioactive iodine therapy or surgery.",carbimazole and propylthiouracil
Urinary tract infection,drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating.","A urinary tract infection (UTI) is an infection that occurs in any part of the urinary system, which includes the kidneys, ureters, bladder, and urethra. UTIs are most commonly caused by bacteria, with Escherichia coli (E. coli) being the most frequent culprit. Symptoms typically include a strong, persistent urge to urinate, a burning sensation during urination, frequent urination with only small amounts of urine, cloudy or strong-smelling urine, and pelvic pain. In some cases, particularly when the infection reaches the kidneys, symptoms may also include fever, chills, nausea, and back pain. UTIs are more common in women due to anatomical differences, but men can also be affected, especially with age or underlying health issues. Diagnosis is usually made through a urine sample, which is tested for the presence of bacteria and white blood cells. Treatment typically involves antibiotics to eliminate the infection, and drinking plenty of fluids can help flush out bacteria. Preventive measures include proper hydration, urinating after sexual intercourse, and maintaining good hygiene. While UTIs are generally treatable, recurrent infections may indicate underlying health issues that require further evaluation.","Infections of your urinary tract (also known as UTIs) are common. Bladder infections are the most common type of UTI. If you have symptoms of a UTI, see your doctor or pharmacist as soon as possible for treatment.","trimethoprim and sulfamethoxazole (Bactrim, Bactrim DS), fosfomycin (Monurol), nitrofurantoin (Macrodantin, Macrobid, Furadantin), cephalexin and ceftriaxone"
Varicose veins,lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs.","Varicose veins are swollen, twisted veins that are visible just under the surface of the skin, most commonly occurring in the legs and feet. They arise when the valves within the veins weaken or become damaged, leading to poor blood flow and pooling of blood. Factors contributing to the development of varicose veins include age, genetics, obesity, pregnancy, prolonged standing or sitting, and hormonal changes. Symptoms can range from mild to severe and may include aching, heaviness, fatigue in the legs, swelling, and in some cases, skin changes or ulcers near the affected veins. While varicose veins are often considered a cosmetic concern, they can lead to more serious complications, such as blood clots or chronic venous insufficiency. Diagnosis is typically made through a physical examination, and imaging tests like ultrasound may be used to assess blood flow. Treatment options vary depending on the severity of the condition and can include lifestyle changes, compression stockings, sclerotherapy, laser treatments, and in more severe cases, surgical procedures to remove or close the affected veins. Managing varicose veins is important for reducing symptoms and preventing potential complications.","Varicose veins are swollen blood vessels under your skin. They develop if your veins are damaged and blood pools in your legs instead of flowing up to your heart. Varicose veins can cause leg pain and sometimes ulcers or blood clots. If you have varicose veins, avoid standing for long periods, wear compression stockings, try to exercise, and lose weight if you are overweight. Injection therapy, laser and surgery can treat varicose veins.",diosmin and hesperidin
AIDS,avoid open cuts,wear ppe if possible,consult doctor,follow up,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.","AIDS, or Acquired Immunodeficiency Syndrome, is a severe and chronic condition caused by the human immunodeficiency virus (HIV), which attacks and weakens the immune system, specifically the CD4 T cells that are crucial for fighting infections. When the immune system becomes significantly compromised, individuals become vulnerable to opportunistic infections and certain cancers, marking the progression from HIV infection to AIDS. Symptoms of AIDS can include rapid weight loss, recurring fever, extreme fatigue, prolonged swelling of the lymph nodes, and the presence of opportunistic infections or unusual cancers. HIV is primarily transmitted through unprotected sexual contact, sharing needles, and from mother to child during childbirth or breastfeeding. Diagnosis is made through blood tests that detect HIV and measure the immune system's health. While there is currently no cure for AIDS, antiretroviral therapy (ART) can effectively manage HIV infection, allowing individuals to live longer, healthier lives and reducing the risk of transmission. Prevention strategies, including safe sex practices, needle exchange programs, and pre-exposure prophylaxis (PrEP), are vital in controlling the spread of HIV. Early diagnosis and continuous treatment are crucial in managing the disease and improving outcomes for those affected.","Human immunodeficiency virus (HIV) is a sexually transmitted infection (STI) that affects your immune system by destroying CD4 cells. You are at a higher risk of getting HIV if you have unprotected sex, share needles, already have another STI and get a piercing or tattoo with unsterile equipment. Untreated HIV usually leads to acquired immunodeficiency syndrome (AIDS) within 10 years. HIV can be diagnosed by doing a blood test. Antiretroviral therapy is very effective treatment for HIV; if you take your treatment properly, you can live a long and healthy life with HIV. Human immunodeficiency virus (HIV) is a sexually transmitted infection (STI) that affects your immune system by destroying CD4 cells. You are at a higher risk of getting HIV if you have unprotected sex, share needles, already have another STI and get a piercing or tattoo with unsterile equipment. Untreated HIV usually leads to acquired immunodeficiency syndrome (AIDS) within 10 years. HIV can be diagnosed by doing a blood test. Antiretroviral therapy is very effective treatment for HIV; if you take your treatment properly, you can live a long and healthy life with HIV.","truvada, descovy and apretude"
Paralysis (brain hemorrhage),massage,eat healthy,exercise,consult doctor,"Intracerebral hemorrhage (ICH) is when blood suddenly bursts into brain tissue, causing damage to your brain. Symptoms usually appear suddenly during ICH. They include headache, weakness, confusion, and paralysis, particularly on one side of your body.","Paralysis resulting from a brain hemorrhage occurs when there is bleeding in or around the brain, often due to a ruptured blood vessel. This condition can lead to significant neurological damage, depending on the location and extent of the hemorrhage. Symptoms may vary widely and can include sudden weakness or numbness on one side of the body, difficulty speaking, loss of coordination, and changes in consciousness. The paralysis may affect the arms, legs, or face, and it can be temporary or permanent, depending on the severity of the hemorrhage and the speed of medical intervention. Common causes of brain hemorrhage include high blood pressure, head trauma, aneurysms, and blood vessel malformations. Diagnosis is typically made through imaging studies such as CT scans or MRIs, which can identify the presence of bleeding and assess its impact on brain function. Treatment may involve medications to control blood pressure and reduce swelling, as well as surgical interventions to repair damaged blood vessels or relieve pressure on the brain. Rehabilitation, including physical therapy, occupational therapy, and speech therapy, is often necessary to help individuals regain function and adapt to any lasting effects of paralysis. Timely medical attention is crucial for improving outcomes and minimizing long-term complications associated with brain hemorrhage.","A stroke occurs when your brain can�t get enough oxygen and important nutrients. This is usually because a blood clot or sudden bleed reduces the blood supply. Signs of a stroke can include a drooping face, difficulty moving your arm(s), or slurred speech. If you notice signs of a stroke, call triple zero (000) immediately, since any delay may lead to permanent brain damage or death. You can reduce your chance of having a stroke by managing risk factors such as high blood pressure and cholesterol. Eating healthily and exercising will also help.","labetalol, phenytoin (dilantin), methylprednisolone, baclofen, warfarin and rivaroxaban"
Typhoid,eat high calorie vegitables,antiboitic therapy,consult doctor,medication,"An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.","Typhoid fever is a serious bacterial infection caused by Salmonella typhi, which is transmitted through contaminated food and water. The disease is characterized by a prolonged fever, weakness, abdominal pain, headache, and loss of appetite, often accompanied by constipation or diarrhea. Symptoms typically develop 6 to 30 days after exposure to the bacteria and can escalate if not treated promptly. In severe cases, complications such as intestinal perforation or septicemia can occur, posing significant health risks. Diagnosis is usually made through blood cultures or stool tests to confirm the presence of the bacteria. Treatment primarily involves antibiotics to eliminate the infection, and supportive care may be necessary to manage symptoms and prevent dehydration. Prevention strategies include practicing good hygiene, ensuring safe drinking water, and obtaining the typhoid vaccine, especially for individuals traveling to areas where the disease is prevalent. While typhoid fever is treatable, early diagnosis and appropriate intervention are crucial to reducing the risk of complications and ensuring a full recovery.","Typhoid fever and paratyphoid fever are caused by different species of salmonella bacteria. The bacteria that cause typhoid fever and paratyphoid fever is commonly spread through sewage-contaminated food and water. Typhoid fever can become life-threatening if it's not treated. Symptoms of both illnesses include fever, abdominal pain and headache. Vaccination is recommended for people travelling to areas where typhoid is present and where food and water may be contaminated.","ciprofloxacin (levoflaxin or ofloxacin),�ceftriaxone (cefotaxime or cefixime),�azithromycin and carbapenems"
Hepatitis B,consult nearest hospital,vaccination,eat healthy,medication,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.","Hepatitis B is a viral infection caused by the hepatitis B virus (HBV) that primarily affects the liver, leading to inflammation and potential long-term liver damage. The virus is transmitted through contact with the blood or bodily fluids of an infected person, commonly through unprotected sexual contact, sharing needles, or from mother to child during childbirth. Many individuals with hepatitis B do not exhibit symptoms, especially in the early stages, but when symptoms do occur, they may include fatigue, jaundice (yellowing of the skin and eyes), abdominal pain, dark urine, and loss of appetite. Acute hepatitis B can resolve on its own, but for some, it can progress to chronic hepatitis B, which increases the risk of developing serious complications such as cirrhosis, liver failure, and liver cancer. Diagnosis is typically made through blood tests that detect HBV antigens and antibodies. While there is no specific cure for hepatitis B, antiviral medications can help manage chronic infection and reduce the risk of liver damage. Vaccination is an effective preventive measure, providing immunity against the virus. Regular monitoring and medical care are essential for individuals living with hepatitis B to manage their health and prevent complications.","Hepatitis B is a viral infection that affects the liver. Symptoms of hepatitis B include dark urine, nausea and fatigue. However, many people have no symptoms at all. Hepatitis B infection can either be acute (when the illness lasts for less than 6 months), or chronic (the illness lasts for longer than 6 months). Hepatitis B can be prevented with vaccination. Key facts Hepatitis B is a viral infection that affects the liver. Symptoms of hepatitis B include dark urine, nausea and fatigue. However, many people have no symptoms at all. Hepatitis B infection can either be acute (when the illness lasts for less than 6 months), or chronic (the illness lasts for longer than 6 months). Hepatitis B can be prevented with vaccination.","�entecavir (Baraclude), tenofovir (Viread), lamivudine (Epivir) and adefovir (Hepsera)"
Fungal infection,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.","Fungal infections are caused by the overgrowth of fungi, which can affect various parts of the body, including the skin, nails, and internal organs. These infections can range from superficial, such as athlete's foot and ringworm, to more serious systemic infections that can impact individuals with weakened immune systems. Common types of fungal infections include dermatophyte infections (affecting the skin and nails), candidiasis (caused by the Candida species, often affecting the mouth, throat, and genital area), and aspergillosis (a respiratory infection caused by Aspergillus species). Symptoms vary depending on the type and location of the infection but may include redness, itching, swelling, and the presence of rashes or lesions. Diagnosis typically involves a physical examination, medical history, and laboratory tests such as cultures or skin scrapings. Treatment options range from topical antifungal creams and oral medications to more aggressive therapies for systemic infections. Preventive measures include maintaining good hygiene, keeping skin dry, and avoiding close contact with infected individuals. While most fungal infections are treatable, prompt diagnosis and appropriate management are essential to prevent complications, especially in immunocompromised individuals.","Fungal infections are any disease or condition you get from a fungus. They usually affect your skin, hair, nails or mucous membranes but they can also infect your lungs or other parts of your body. You�re at higher risk for fungal infections if you have a weakened immune system. Antifungal medications are usually used to treat fungal infections.","clotrimazole (Canesten), econazole, miconazole, terbinafine (Lamisil), fluconazole (Diflucan), ketoconazole (Daktarin), nystatin (Nystan) and amphotericin"
Hepatitis C,Consult nearest hospital,vaccination,eat healthy,medication,"Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.","Hepatitis C is a viral infection caused by the hepatitis C virus (HCV) that primarily affects the liver, leading to inflammation and potential liver damage. The virus is transmitted through contact with infected blood, commonly through sharing needles, unsafe injection practices, and, less frequently, through sexual contact or from an infected mother to her baby during childbirth. Many individuals with hepatitis C may not exhibit symptoms initially, but when they do occur, symptoms can include fatigue, jaundice (yellowing of the skin and eyes), abdominal pain, dark urine, and loss of appetite. Diagnosis is typically made through blood tests that detect antibodies to HCV and measure viral RNA levels. Hepatitis C can be acute or chronic; while acute infections may resolve spontaneously, chronic hepatitis C can lead to serious complications such as cirrhosis, liver failure, and liver cancer. Treatment has advanced significantly, with direct-acting antiviral medications offering a cure for most chronic cases within 8 to 12 weeks. Preventive measures emphasize reducing exposure to the virus, such as using sterile needles and practicing safe sex, while regular monitoring and medical care are essential for managing health and preventing complications.","Hepatitis C is a liver infection caused by the hepatitis C virus. It’s spread by contact with an infected person’s blood, such as through sharing needles or some sexual activities. Many people with hepatitis C don’t have any symptoms until their liver is damaged. It’s estimated that 8 out of 10 new cases of hepatitis C in Australia result from the unsafe injecting of drugs. There are very effective treatments available for hepatitis C infection. Key facts Hepatitis C is a liver infection caused by the hepatitis C virus. It’s spread by contact with an infected person’s blood, such as through sharing needles or some sexual activities. Many people with hepatitis C don’t have any symptoms until their liver is damaged. It’s estimated that 8 out of 10 new cases of hepatitis C in Australia result from the unsafe injecting of drugs. There are very effective treatments available for hepatitis C infection.","elbasvir/grazoprevir (Zepatier), glecaprevir/pibrentasvir (Mavyret), sofosbuvir/ledipasvir (Harvoni) and sofosbuvir/velpatasvir (Epclusa)"
Migraine,meditation,reduce stress,use poloroid glasses in sun,consult doctor,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.","Migraine is a neurological condition characterized by recurrent, severe headaches often accompanied by various symptoms, including nausea, vomiting, sensitivity to light and sound, and visual disturbances known as aura. These headaches typically occur on one side of the head and can last from a few hours to several days, significantly impacting daily activities. The exact cause of migraines is not fully understood, but they are believed to involve changes in brain chemistry and blood flow, with triggers that may include stress, hormonal changes, certain foods, environmental factors, and lack of sleep. Diagnosis is primarily based on a patient�s medical history and symptom description, as there are no specific tests for migraines. Treatment options range from over-the-counter pain relievers for mild cases to prescription medications for more severe attacks, including triptans and preventive therapies aimed at reducing the frequency and intensity of migraines. Lifestyle modifications, such as maintaining a regular sleep schedule, staying hydrated, and managing stress, can also help minimize the frequency of migraine attacks. While migraines can be debilitating, effective management strategies can greatly improve quality of life for those affected.","Migraine is a common problem, involving severe headaches, nausea, vomiting or sensitivity to light or sound. You might get an aura before the headache starts, where you may see flashing lights or have trouble talking. Migraine attacks can have many different triggers, such as stress, missing meals, eating certain foods, hormonal changes or not getting enough sleep. When a migraine attack starts, sleeping in a dark, quiet room and taking pain-relieving medicines straight away, may stop the attack. If you get migraines often, maintaining a healthy lifestyle and taking a preventive medicine can make them less frequent and severe.",
