Key_words,Definition,Url
Albinism,"Albinism is a group of genetic conditions in which a person has no or very little melanin pigment in their skin, hair and eyes. Albinism occurs in all racial and ethnic groups throughout the world. Some children with albinism are born with pinkish-white skin, white hair and their eyes are usually light grey, blue or hazel. People with albinism usually have poor vision. Albinism does not affect general health, intelligence, or lifespan. Albinism is a group of genetic conditions in which a person has no or very little melanin pigment in their skin, hair and eyes. Albinism occurs in all racial and ethnic groups throughout the world. Some children with albinism are born with pinkish-white skin, white hair and their eyes are usually light grey, blue or hazel. People with albinism usually have poor vision. Albinism does not affect general health, intelligence, or lifespan.",https://www.healthdirect.gov.au/wernicke-encephalopathy
Alcohol dependence (alcoholism),"Alcohol dependence is also known as alcoholism or alcohol use disorder. If you have alcohol dependence, you may crave alcohol, drink larger amounts of alcohol, struggle to stop drinking. Alcohol dependence can also cause withdrawal symptoms, like shaking and anxiety, once your stop drinking. Alcohol dependence can impact your life and put you at risk of other chronic health conditions. There are ways that alcohol dependence can be treated, and places you can go for support. Key facts Alcohol dependence is also known as alcoholism or alcohol use disorder. If you have alcohol dependence, you may crave alcohol, drink larger amounts of alcohol, struggle to stop drinking. Alcohol dependence can also cause withdrawal symptoms, like shaking and anxiety, once your stop drinking. Alcohol dependence can impact your life and put you at risk of other chronic health conditions. There are ways that alcohol dependence can be treated, and places you can go for support.",https://www.healthdirect.gov.au/hyperglycaemia-high-blood-sugar
Allergic reactions to cow's milk,"Allergy to cow’s milk is one of the most common food allergies in childhood — it’s different to lactose intolerance. An allergy to cow’s milk can cause mild symptoms, or more a serious reaction such as anaphylaxis. A cow’s milk allergy is diagnosed by a doctor. Cow’s milk allergy can be managed by avoiding milk products. Most children with a cow’s milk allergy will grow out of it by the time they are school age. Allergy to cow’s milk is one of the most common food allergies in childhood — it’s different to lactose intolerance. An allergy to cow’s milk can cause mild symptoms, or more a serious reaction such as anaphylaxis. A cow’s milk allergy is diagnosed by a doctor. Cow’s milk allergy can be managed by avoiding milk products. Most children with a cow’s milk allergy will grow out of it by the time they are school age.",https://www.healthdirect.gov.au/von-willebrand-disease
Allergic rhinitis (hay fever),"Hay fever (allergic rhinitis) is an allergic response from your immune system that causes sneezing, runny nose and watery, itchy eyes. Hay fever can be triggered by seasonal allergens like pollens and grass or year-round triggers like dust mites, and animal fur. See your doctor if your hay fever symptoms are ongoing and affect your day-to-day living. Most people manage hay fever by avoiding allergens in their daily life, and with medicines such as antihistamines and nasal sprays. Allergy testing can help to identify potential triggers for hay fever, but should be considered together with your history and other symptoms. Hay fever (allergic rhinitis) is an allergic response from your immune system that causes sneezing, runny nose and watery, itchy eyes. Hay fever can be triggered by seasonal allergens like pollens and grass or year-round triggers like dust mites, and animal fur. See your doctor if your hay fever symptoms are ongoing and affect your day-to-day living. Most people manage hay fever by avoiding allergens in their daily life, and with medicines such as antihistamines and nasal sprays. Allergy testing can help to identify potential triggers for hay fever, but should be considered together with your history and other symptoms.",https://www.healthdirect.gov.au/hiatus-hernia
Allergies (food),A food allergy occurs when your immune system responds to an allergen in food. A food allergy is different to a food intolerance. Allergy responses can range from mild to severe. Key facts A food allergy occurs when your immune system responds to an allergen in food. A food allergy is different to a food intolerance. Allergy responses can range from mild to severe.,https://www.healthdirect.gov.au/vitiligo
Allergies and hypersensitivities,"An allergy is when your immune system reacts to something that is harmless to most people. Substances that cause allergies are called ‘allergens’ and include certain foods, animal dander, pollens and dust mites. There are different types of allergies that cause a range of symptoms — some are mild while others can be life-threatening. You can reduce the chance of experiencing an allergic reaction by avoiding the substance you are allergic to. There are medicines available to treat some types of allergies. An allergy is when your immune system reacts to something that is harmless to most people. Substances that cause allergies are called ‘allergens’ and include certain foods, animal dander, pollens and dust mites. There are different types of allergies that cause a range of symptoms — some are mild while others can be life-threatening. You can reduce the chance of experiencing an allergic reaction by avoiding the substance you are allergic to. There are medicines available to treat some types of allergies.",https://www.healthdirect.gov.au/shingles
Alopecia,"Alopecia means hair loss, which can be from a single area or several areas of your head and body. There are many types of alopecia, such as male or female pattern hair loss and alopecia areata. Alopecia can be caused by many different things including stress, health conditions, medicines or damage to your hair. Sometimes hair will grow back, but sometimes it can fall out again or might never grow back. There are many treatment options for alopecia. They don’t always work and some people may need to learn to live with hair loss. Alopecia means hair loss, which can be from a single area or several areas of your head and body. There are many types of alopecia, such as male or female pattern hair loss and alopecia areata. Alopecia can be caused by many different things including stress, health conditions, medicines or damage to your hair. Sometimes hair will grow back, but sometimes it can fall out again or might never grow back. There are many treatment options for alopecia. They don’t always work and some people may need to learn to live with hair loss.",https://www.healthdirect.gov.au/vitamin-k-deficiency
Alpha-1 antitrypsin deficiency (AATD),"Alpha-1 antitrypsin deficiency (AATD) is a genetic condition. People with AATD are at risk of chronic (ongoing) lung and liver conditions, such as emphysema and cirrhosis. Treatment for AATD depends on your symptoms and condition. There are lifestyle measures to reduce your risk of severe lung and liver disease. Many people with AATD, especially non-smokers, have a normal life expectancy. Key facts Alpha-1 antitrypsin deficiency (AATD) is a genetic condition. People with AATD are at risk of chronic (ongoing) lung and liver conditions, such as emphysema and cirrhosis. Treatment for AATD depends on your symptoms and condition. There are lifestyle measures to reduce your risk of severe lung and liver disease. Many people with AATD, especially non-smokers, have a normal life expectancy.",https://www.healthdirect.gov.au/hernias
Altitude sickness,"Altitude sickness can happen if you travel to a high elevation — such as up a mountain. It happens when your body has not had time to adjust to the lower amount of oxygen. The main symptoms are a headache, cough, racing heart or trouble breathing. Altitude sickness is a medical emergency. Altitude sickness can happen if you travel to a high elevation — such as up a mountain. It happens when your body has not had time to adjust to the lower amount of oxygen. The main symptoms are a headache, cough, racing heart or trouble breathing. Altitude sickness is a medical emergency.",https://www.healthdirect.gov.au/vitamin-b-deficiency
Alzheimer's disease,"Alzheimer's disease is a type of dementia that affects your thinking, behaviour and ability to do everyday tasks. Alzheimer's disease is caused by a build-up of certain proteins in your brain, and gets worse over time. While Alzheimer's disease is more common in older people, it is not a normal part of ageing. See your doctor if you have memory loss, difficulty with familiar tasks or language, or changes in your mood or personality. There is no cure for Alzheimer's disease, but some medicines can help improve your quality of life. Alzheimer's disease is a type of dementia that affects your thinking, behaviour and ability to do everyday tasks. Alzheimer's disease is caused by a build-up of certain proteins in your brain, and gets worse over time. While Alzheimer's disease is more common in older people, it is not a normal part of ageing. See your doctor if you have memory loss, difficulty with familiar tasks or language, or changes in your mood or personality. There is no cure for Alzheimer's disease, but some medicines can help improve your quality of life.",https://www.healthdirect.gov.au/hepatitis-c
Amnesia,"Amnesia is a form of memory loss. While forgetting things is normal, people with amnesia often forget familiar things, such as where they live, and what their loved ones' names are. Amnesia can be caused by many things, including head injuries or dementia. There are ways to treat or manage amnesia, depending on what causes it. Amnesia is a form of memory loss. While forgetting things is normal, people with amnesia often forget familiar things, such as where they live, and what their loved ones' names are. Amnesia can be caused by many things, including head injuries or dementia. There are ways to treat or manage amnesia, depending on what causes it.",https://www.healthdirect.gov.au/viral-haemorrhagic-fevers
Amyloidosis,"Amyloidosis is a group of diseases caused by an abnormal protein called amyloid that builds up in your organs. Symptoms are usually general and include extreme tiredness, weight loss, swelling of feet and legs and shortness of breath. Amyloidosis can be inherited or develop spontaneously. Amyloidosis is diagnosed via a biopsy of the suspected affected organ. Treatment of amyloidosis depends on the cause, and may include medicines, a bone marrow transplant or treating the illness causing amyloidosis. Amyloidosis is a group of diseases caused by an abnormal protein called amyloid that builds up in your organs. Symptoms are usually general and include extreme tiredness, weight loss, swelling of feet and legs and shortness of breath. Amyloidosis can be inherited or develop spontaneously. Amyloidosis is diagnosed via a biopsy of the suspected affected organ. Treatment of amyloidosis depends on the cause, and may include medicines, a bone marrow transplant or treating the illness causing amyloidosis.",https://www.healthdirect.gov.au/hepatitis-b
Amyotrophic lateral sclerosis,"Motor neurone disease (MND) is the name for a group of diseases that affect your motor nerves — a type of nerve that allows you to move, swallow, talk and breathe. MND symptoms usually begin as mild weakness in your lower body; they gradually worsen and spread to your upper body, causing paralysis and breathing difficulties. In rare cases a genetic mutation can cause MND, but usually there is no known cause. Treatment for MND focuses on managing your symptoms and improving your quality of life, as there is no cure. Motor neurone disease (MND) is the name for a group of diseases that affect your motor nerves — a type of nerve that allows you to move, swallow, talk and breathe. MND symptoms usually begin as mild weakness in your lower body; they gradually worsen and spread to your upper body, causing paralysis and breathing difficulties. In rare cases a genetic mutation can cause MND, but usually there is no known cause. Treatment for MND focuses on managing your symptoms and improving your quality of life, as there is no cure.",https://www.healthdirect.gov.au/wart-treatments
Anaemia,"Red blood cells and haemoglobin, the molecule in red blood cells that makes them red, are important because they carry oxygen from the lungs around the body. Anaemia is when you don’t have enough red blood cells or haemoglobin. There are many different causes of anaemia. The most common type of anaemia is iron-deficiency anaemia, which is usually caused by not eating or absorbing enough iron, or by losing blood. It’s important to treat the cause of anaemia so it doesn’t recur. Red blood cells and haemoglobin, the molecule in red blood cells that makes them red, are important because they carry oxygen from the lungs around the body. Anaemia is when you don’t have enough red blood cells or haemoglobin. There are many different causes of anaemia. The most common type of anaemia is iron-deficiency anaemia, which is usually caused by not eating or absorbing enough iron, or by losing blood. It’s important to treat the cause of anaemia so it doesn’t recur.",https://www.healthdirect.gov.au/vasculitis
Anal injury,Anal injuries are when there is physical damage or trauma to your anal area. Causes of anal injuries include changes in your bowel function and sexual activity. Treatment is based on the specific injury’s cause and severity. You should seek immediate medical attention if you experience severe pain or heavy bleeding following an anal injury. Anal injuries are when there is physical damage or trauma to your anal area. Causes of anal injuries include changes in your bowel function and sexual activity. Treatment is based on the specific injury’s cause and severity. You should seek immediate medical attention if you experience severe pain or heavy bleeding following an anal injury.,https://www.healthdirect.gov.au/hepatitis-a
Anaphylaxis,"Anaphylaxis is the most severe type of allergic reaction. It can happen after exposure to certain triggers including foods, bites and stings or medicines. Symptoms of anaphylaxis include difficulty breathing, swelling of the throat and collapse. If someone is having anaphylaxis, use an adrenaline autoinjector (if available), call triple zero (000) and ask for an ambulance. People with a known allergy should always carry 2 adrenaline autoinjectors and an ASCIA allergy action plan. Anaphylaxis is the most severe type of allergic reaction. It can happen after exposure to certain triggers including foods, bites and stings or medicines. Symptoms of anaphylaxis include difficulty breathing, swelling of the throat and collapse. If someone is having anaphylaxis, use an adrenaline autoinjector (if available), call triple zero (000) and ask for an ambulance. People with a known allergy should always carry 2 adrenaline autoinjectors and an ASCIA allergy action plan.",https://www.healthdirect.gov.au/varicose-veins
Aneurysms,"An aneurysm is a bulge in a blood vessel wall. An aneurysm can be harmless, as long as it doesn’t rupture (burst). Aneurysms can occur anywhere in your body. You can help reduce your chance of getting some aneurysms by eating a healthy diet, stopping smoking, exercising and taking medicines for high blood pressure. Key facts An aneurysm is a bulge in a blood vessel wall. An aneurysm can be harmless, as long as it doesn’t rupture (burst). Aneurysms can occur anywhere in your body. You can help reduce your chance of getting some aneurysms by eating a healthy diet, stopping smoking, exercising and taking medicines for high blood pressure.",https://www.healthdirect.gov.au/hepatitis
Angelman syndrome,"Angelman syndrome is a genetic condition that occurs if a gene called UBE3A is missing or faulty. People with Angelman syndrome have severe intellectual disability and delayed development, speak very little and often laugh and smile for no apparent reason. Angelman syndrome is usually diagnosed using a genetic test called DNA microarray testing. Angelman syndrome can't be cured, but there is a range of therapies that can improve the quality of life of those affected. Angelman syndrome is a genetic condition that occurs if a gene called UBE3A is missing or faulty. People with Angelman syndrome have severe intellectual disability and delayed development, speak very little and often laugh and smile for no apparent reason. Angelman syndrome is usually diagnosed using a genetic test called DNA microarray testing. Angelman syndrome can't be cured, but there is a range of therapies that can improve the quality of life of those affected.",https://www.healthdirect.gov.au/varicocele
Angina,"Angina refers to chest pain or discomfort usually caused by coronary heart disease. Angina is categorised as stable, unstable or variant. Symptoms include pain in your arms, shoulder, neck or jaw, shortness of breath, fatigue, nausea and sweating. Angina is diagnosed by examination and tests such as blood tests, ECG, echocardiogram, stress test and angiogram. Treatment includes managing angina symptoms, lifestyle changes, medicines and certain surgical procedures. Angina refers to chest pain or discomfort usually caused by coronary heart disease. Angina is categorised as stable, unstable or variant. Symptoms include pain in your arms, shoulder, neck or jaw, shortness of breath, fatigue, nausea and sweating. Angina is diagnosed by examination and tests such as blood tests, ECG, echocardiogram, stress test and angiogram. Treatment includes managing angina symptoms, lifestyle changes, medicines and certain surgical procedures.",https://www.healthdirect.gov.au/helicobacter-pylori
Animal bites,"Dog and cat bites are the most frequent type of animal bite. Infections can occur if your skin is broken by an animal bite. Unless you are trained, vaccinated and wearing protective clothing, you should avoid handling bats or flying foxes in Australia. If you have been, or think you may have been, bitten or scratched by a bat — seek immediate medical attention. Talk to your doctor about your risk of rabies at least one month before you go on an overseas trip. Dog and cat bites are the most frequent type of animal bite. Infections can occur if your skin is broken by an animal bite. Unless you are trained, vaccinated and wearing protective clothing, you should avoid handling bats or flying foxes in Australia. If you have been, or think you may have been, bitten or scratched by a bat — seek immediate medical attention. Talk to your doctor about your risk of rabies at least one month before you go on an overseas trip.",https://www.healthdirect.gov.au/heatstroke
Ankylosing spondylitis,"Ankylosing spondylitis (AS) is a kind of arthritis that mainly affects your spine. It often begins before the age of 40 years. Ankylosing spondylitis affects males more often than females. It’s not known what causes ankylosing spondylitis. There’s no cure for ankylosing spondylitis, but medicines can help manage your symptoms. Ankylosing spondylitis (AS) is a kind of arthritis that mainly affects your spine. It often begins before the age of 40 years. Ankylosing spondylitis affects males more often than females. It’s not known what causes ankylosing spondylitis. There’s no cure for ankylosing spondylitis, but medicines can help manage your symptoms.",https://www.healthdirect.gov.au/vaginal-bleeding
Anorexia nervosa,"Anorexia nervosa is an eating disorder and a serious mental illness. The causes of anorexia nervosa are not fully understood. If you have signs of anorexia nervosa, it’s important to get help as soon as possible. Anorexia nervosa is an eating disorder and a serious mental illness. The causes of anorexia nervosa are not fully understood. If you have signs of anorexia nervosa, it’s important to get help as soon as possible.",https://www.healthdirect.gov.au/heartburn
Anthrax,"Anthrax is a very rare but serious disease caused by bacteria from infected animals. Most of the time it causes a skin infection, but it can also affect your digestive tract (your gut) or lungs. Anthrax can be treated with antibiotics — the sooner the better. If you work with infected animals, it’s very important to wear full body protective equipment and cover any broken skin with dressings to prevent catching anthrax. Anthrax is a very rare but serious disease caused by bacteria from infected animals. Most of the time it causes a skin infection, but it can also affect your digestive tract (your gut) or lungs. Anthrax can be treated with antibiotics — the sooner the better. If you work with infected animals, it’s very important to wear full body protective equipment and cover any broken skin with dressings to prevent catching anthrax.",https://www.healthdirect.gov.au/heart-valve-disease
Aortic coarctation,Aortic coarctation is a heart condition that is also called 'coarctation of the aorta'. Aortic coarctation is when the main blood vessel coming from your heart — the aorta — has a narrowed area. Babies can suddenly become very unwell if they have an aortic coarctation. Surgery and other procedures can be done to repair aortic coarctation. Lifelong follow-up is needed. Aortic coarctation is a heart condition that is also called 'coarctation of the aorta'. Aortic coarctation is when the main blood vessel coming from your heart — the aorta — has a narrowed area. Babies can suddenly become very unwell if they have an aortic coarctation. Surgery and other procedures can be done to repair aortic coarctation. Lifelong follow-up is needed.,https://www.healthdirect.gov.au/heart-attack
Aortic dissection,"An aortic dissection is when you have a tear in your aorta, the largest blood vessel in your body. The main symptom of aortic dissection is a sudden, excruciating pain in your chest, upper back or abdomen (tummy). One risk factor for aortic dissection is uncontrolled high blood pressure. Aortic dissection is a medical emergency and needs immediate treatment. An aortic dissection is when you have a tear in your aorta, the largest blood vessel in your body. The main symptom of aortic dissection is a sudden, excruciating pain in your chest, upper back or abdomen (tummy). One risk factor for aortic dissection is uncontrolled high blood pressure. Aortic dissection is a medical emergency and needs immediate treatment.",https://www.healthdirect.gov.au/urinary-tract-infection-uti
Aortic stenosis,"Aortic stenosis is a heart condition affecting your aortic heart valve. Symptoms of aortic stenosis often come on with physical exertion and include feeling tired, feeling breathless, fainting and chest pain. The most common cause of aortic stenosis is hardening and scarring of your aortic valve. This happens with age. Treatment for aortic stenosis depends on your age, general health, severity of your symptoms and your heart function. Key facts Aortic stenosis is a heart condition affecting your aortic heart valve. Symptoms of aortic stenosis often come on with physical exertion and include feeling tired, feeling breathless, fainting and chest pain. The most common cause of aortic stenosis is hardening and scarring of your aortic valve. This happens with age. Treatment for aortic stenosis depends on your age, general health, severity of your symptoms and your heart function.",https://www.healthdirect.gov.au/undescended-testicles
Apert syndrome,"Apert syndrome is a rare genetic disorder that is present at birth. People with Apert syndrome have craniosynostosis — where the gaps (sutures) between bones of the skull close early. They may also have webbed (fused) fingers or toes and distinctive facial features. Apert syndrome is usually diagnosed at or soon after birth, based on your baby's facial features and other characteristics. The severity of symptoms varies between people, but corrective surgery is often recommended. Key facts Apert syndrome is a rare genetic disorder that is present at birth. People with Apert syndrome have craniosynostosis — where the gaps (sutures) between bones of the skull close early. They may also have webbed (fused) fingers or toes and distinctive facial features. Apert syndrome is usually diagnosed at or soon after birth, based on your baby's facial features and other characteristics. The severity of symptoms varies between people, but corrective surgery is often recommended.",https://www.healthdirect.gov.au/ulcerative-colitis
Aphasia,"Aphasia is a brain condition that involves having difficulty with language and speech, but it does not affect intelligence. It may affect a range of language skills, such as talking, understanding, reading and writing. People with aphasia may have trouble with finding words, putting a sentence together and following instructions and conversations. Aphasia is caused by damage to the language areas of your brain, most commonly by a stroke. A speech pathologist can help people with aphasia improve language skills and learn new ways to communicate. Key facts Aphasia is a brain condition that involves having difficulty with language and speech, but it does not affect intelligence. It may affect a range of language skills, such as talking, understanding, reading and writing. People with aphasia may have trouble with finding words, putting a sentence together and following instructions and conversations. Aphasia is caused by damage to the language areas of your brain, most commonly by a stroke. A speech pathologist can help people with aphasia improve language skills and learn new ways to communicate.",https://www.healthdirect.gov.au/head-injuries
Apnoea (sleep),"Obstructive sleep apnoea (OSA) happens when you have breathing pauses at night while you're asleep. People who have OSA may snore, wake up gasping and feel tired during the day. Your doctor can refer you to a sleep specialist for a diagnosis and to get treatment. It's important to treat OSA because it can increase your risk of other health problems. Obstructive sleep apnoea (OSA) happens when you have breathing pauses at night while you're asleep. People who have OSA may snore, wake up gasping and feel tired during the day. Your doctor can refer you to a sleep specialist for a diagnosis and to get treatment. It's important to treat OSA because it can increase your risk of other health problems.",https://www.healthdirect.gov.au/tuberous-sclerosis
Appendicitis,"Appendicitis is inflammation of the appendix — the appendix is a thin pouch attached to a part of your large intestine (gut), on the right side of your abdomen (tummy). Appendicitis causes pain in your abdomen that usually starts in the middle and then moves to the lower right side of your abdomen. Appendicitis is diagnosed by asking about your symptoms, examining you and sometimes with imaging tests. It can be difficult to tell the difference between appendicitis and other abdominal problems, especially in young children. The main treatment for appendicitis is an operation to remove the inflamed appendix. Key facts Appendicitis is inflammation of the appendix — the appendix is a thin pouch attached to a part of your large intestine (gut), on the right side of your abdomen (tummy). Appendicitis causes pain in your abdomen that usually starts in the middle and then moves to the lower right side of your abdomen. Appendicitis is diagnosed by asking about your symptoms, examining you and sometimes with imaging tests. It can be difficult to tell the difference between appendicitis and other abdominal problems, especially in young children. The main treatment for appendicitis is an operation to remove the inflamed appendix.",https://www.healthdirect.gov.au/hashimotos-disease
Apraxia of speech,Apraxia of speech is a rare type of speech condition. Apraxia makes it difficult to move your mouth in the way needed to produce sounds and words. Treatment involves working with a speech pathologist to learn how to form the right sounds. Apraxia of speech is a rare type of speech condition. Apraxia makes it difficult to move your mouth in the way needed to produce sounds and words. Treatment involves working with a speech pathologist to learn how to form the right sounds.,https://www.healthdirect.gov.au/trigeminal-neuralgia
